분석유형,종목코드,종목명,필터후_다음날수,다음날_상승비율,다음날_평균종가등락,SMA5_일치율,SMA20_일치율,SMA60_일치율,BB상_일치율,BB중_일치율,BB하_일치율,RSI_일치율,MACD_일치율,전체지표동시일치율,비교가능일수
전일 거래량 +15% (1일),TOP30_합산,전체,1207,54.0%,0.96%,47.9%,46.3%,52.0%,50.4%,46.3%,45.5%,47.5%,52.4%,12.4%,1139
전일 거래량 +15% (1일),000270.KS,기아,43,48.8%,0.19%,48.7%,45.7%,45.8%,54.3%,45.7%,48.6%,63.9%,56.3%,5.1%,39
전일 거래량 +15% (1일),000660.KS,SK하이닉스,36,72.2%,2.30%,58.8%,53.3%,78.9%,66.7%,53.3%,56.7%,54.8%,50.0%,35.3%,34
전일 거래량 +15% (1일),000810.KS,삼성화재,45,42.2%,-0.40%,52.4%,40.5%,47.8%,45.9%,40.5%,48.6%,47.2%,45.5%,9.5%,42
전일 거래량 +15% (1일),005380.KS,현대차,48,58.3%,0.81%,48.8%,45.0%,57.7%,55.0%,45.0%,35.0%,44.7%,50.0%,11.4%,44
전일 거래량 +15% (1일),005490.KS,POSCO홀딩스,41,56.1%,0.84%,48.7%,53.1%,50.0%,56.3%,53.1%,43.8%,44.1%,62.1%,10.3%,39
전일 거래량 +15% (1일),005930.KS,삼성전자,37,67.6%,2.96%,40.0%,54.8%,66.7%,41.9%,54.8%,54.8%,53.1%,33.3%,28.6%,35
전일 거래량 +15% (1일),006400.KS,삼성SDI,45,60.0%,0.89%,43.9%,38.9%,65.4%,55.6%,38.9%,33.3%,36.1%,63.6%,11.9%,42
전일 거래량 +15% (1일),009150.KS,삼성전기,42,73.8%,2.78%,66.7%,75.7%,76.0%,73.0%,75.7%,51.4%,61.1%,59.4%,21.4%,42
전일 거래량 +15% (1일),009540.KS,HD한국조선해양,42,45.2%,0.06%,60.0%,44.1%,35.0%,47.1%,44.1%,61.8%,51.4%,44.4%,12.5%,40
전일 거래량 +15% (1일),010120.KS,LS ELECTRIC,38,55.3%,2.33%,55.6%,62.5%,45.0%,59.4%,62.5%,37.5%,60.6%,72.4%,11.1%,36
전일 거래량 +15% (1일),012330.KS,현대모비스,38,44.7%,0.41%,41.2%,50.0%,38.1%,37.5%,50.0%,50.0%,56.7%,45.2%,0.0%,35
전일 거래량 +15% (1일),012450.KS,한화에어로스페이스,40,47.5%,0.42%,41.0%,41.9%,35.0%,45.2%,41.9%,54.8%,35.3%,39.3%,10.3%,39
전일 거래량 +15% (1일),028260.KS,삼성물산,41,61.0%,1.66%,44.7%,48.5%,54.5%,54.5%,48.5%,48.5%,48.6%,53.6%,13.2%,38
전일 거래량 +15% (1일),032830.KS,삼성생명,37,45.9%,-0.08%,37.1%,43.3%,52.6%,40.0%,43.3%,56.7%,34.4%,23.1%,22.9%,35
전일 거래량 +15% (1일),034020.KS,두산에너빌리티,39,41.0%,0.03%,26.3%,33.3%,52.6%,45.5%,33.3%,30.3%,21.2%,46.4%,5.3%,38
전일 거래량 +15% (1일),034730.KS,SK,46,58.7%,0.90%,54.5%,63.2%,56.5%,50.0%,63.2%,47.4%,47.5%,53.1%,20.5%,44
전일 거래량 +15% (1일),035420.KS,NAVER,41,58.5%,1.06%,59.0%,39.4%,47.8%,57.6%,39.4%,45.5%,51.4%,50.0%,10.3%,39
전일 거래량 +15% (1일),042660.KS,한화오션,38,47.4%,0.09%,60.0%,36.7%,47.4%,36.7%,36.7%,40.0%,43.8%,53.8%,11.4%,35
전일 거래량 +15% (1일),042700.KS,한미반도체,36,55.6%,2.41%,44.1%,48.3%,31.6%,65.5%,48.3%,44.8%,44.8%,57.7%,11.8%,34
전일 거래량 +15% (1일),055550.KS,신한지주,40,45.0%,0.11%,40.5%,51.5%,63.2%,45.5%,51.5%,51.5%,38.2%,60.7%,5.4%,37
전일 거래량 +15% (1일),066570.KS,LG전자,40,42.5%,0.25%,51.4%,43.8%,47.6%,46.9%,43.8%,46.9%,45.5%,60.7%,16.2%,37
전일 거래량 +15% (1일),068270.KS,셀트리온,40,55.0%,0.91%,28.2%,34.3%,38.1%,48.6%,34.3%,37.1%,37.8%,58.1%,0.0%,39
전일 거래량 +15% (1일),086790.KS,하나금융지주,33,54.5%,0.68%,53.3%,51.9%,57.1%,48.1%,51.9%,51.9%,51.9%,65.2%,13.3%,30
전일 거래량 +15% (1일),105560.KS,KB금융,42,52.4%,0.21%,46.2%,37.1%,50.0%,45.7%,37.1%,40.0%,56.8%,58.1%,7.7%,39
전일 거래량 +15% (1일),207940.KS,삼성바이오로직스,37,48.6%,0.43%,47.1%,41.9%,52.2%,35.5%,41.9%,54.8%,45.5%,51.7%,2.9%,35
전일 거래량 +15% (1일),267260.KS,HD현대일렉트릭,41,53.7%,1.22%,55.3%,45.2%,65.0%,58.1%,45.2%,38.7%,57.6%,67.9%,13.2%,38
전일 거래량 +15% (1일),298040.KS,효성중공업,40,57.5%,1.85%,51.4%,43.3%,60.0%,50.0%,43.3%,33.3%,50.0%,63.0%,18.9%,37
전일 거래량 +15% (1일),329180.KS,HD현대중공업,44,52.3%,0.59%,47.5%,36.1%,33.3%,33.3%,36.1%,50.0%,52.6%,29.0%,9.8%,41
전일 거래량 +15% (1일),373220.KS,LG에너지솔루션,42,59.5%,1.11%,40.5%,36.1%,45.8%,52.8%,36.1%,33.3%,38.5%,64.7%,9.5%,42
전일 거래량 +15% (1일),402340.KS,SK스퀘어,35,60.0%,2.55%,41.2%,50.0%,66.7%,56.7%,50.0%,43.3%,53.1%,33.3%,14.7%,34
연속 2일 거래량 +15%,TOP30_합산,전체,264,58.0%,1.14%,54.0%,50.6%,56.6%,54.3%,50.6%,46.9%,54.8%,52.3%,16.2%,235
연속 2일 거래량 +15%,000270.KS,기아,16,50.0%,0.74%,69.2%,38.5%,60.0%,61.5%,38.5%,46.2%,61.5%,46.2%,0.0%,13
연속 2일 거래량 +15%,000660.KS,SK하이닉스,6,66.7%,0.47%,66.7%,60.0%,75.0%,60.0%,60.0%,80.0%,66.7%,80.0%,50.0%,6
연속 2일 거래량 +15%,000810.KS,삼성화재,9,55.6%,0.34%,75.0%,66.7%,75.0%,66.7%,66.7%,33.3%,33.3%,40.0%,12.5%,8
연속 2일 거래량 +15%,005380.KS,현대차,10,70.0%,3.24%,57.1%,71.4%,66.7%,85.7%,71.4%,42.9%,57.1%,57.1%,28.6%,7
연속 2일 거래량 +15%,005490.KS,POSCO홀딩스,8,50.0%,-0.09%,50.0%,66.7%,50.0%,33.3%,66.7%,66.7%,33.3%,50.0%,12.5%,8
연속 2일 거래량 +15%,005930.KS,삼성전자,10,70.0%,0.83%,55.6%,62.5%,57.1%,62.5%,62.5%,50.0%,62.5%,42.9%,33.3%,9
연속 2일 거래량 +15%,006400.KS,삼성SDI,11,54.5%,0.12%,20.0%,50.0%,57.1%,62.5%,50.0%,50.0%,25.0%,50.0%,10.0%,10
연속 2일 거래량 +15%,009150.KS,삼성전기,7,85.7%,4.65%,57.1%,85.7%,80.0%,85.7%,85.7%,85.7%,71.4%,66.7%,42.9%,7
연속 2일 거래량 +15%,009540.KS,HD한국조선해양,11,27.3%,-0.13%,70.0%,75.0%,66.7%,87.5%,75.0%,75.0%,60.0%,0.0%,30.0%,10
연속 2일 거래량 +15%,010120.KS,LS ELECTRIC,7,71.4%,3.80%,85.7%,57.1%,50.0%,85.7%,57.1%,14.3%,85.7%,100.0%,14.3%,7
연속 2일 거래량 +15%,012330.KS,현대모비스,8,25.0%,-2.17%,42.9%,42.9%,50.0%,42.9%,42.9%,42.9%,57.1%,42.9%,0.0%,7
연속 2일 거래량 +15%,012450.KS,한화에어로스페이스,4,50.0%,-1.62%,25.0%,0.0%,0.0%,0.0%,0.0%,50.0%,33.3%,0.0%,25.0%,4
연속 2일 거래량 +15%,028260.KS,삼성물산,11,81.8%,5.88%,50.0%,77.8%,85.7%,66.7%,77.8%,66.7%,66.7%,57.1%,20.0%,10
연속 2일 거래량 +15%,032830.KS,삼성생명,10,50.0%,-0.37%,50.0%,44.4%,42.9%,33.3%,44.4%,55.6%,33.3%,12.5%,20.0%,10
연속 2일 거래량 +15%,034020.KS,두산에너빌리티,2,0.0%,-3.53%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,2
연속 2일 거래량 +15%,034730.KS,SK,14,78.6%,2.89%,76.9%,72.7%,100.0%,63.6%,72.7%,36.4%,63.6%,87.5%,38.5%,13
연속 2일 거래량 +15%,035420.KS,NAVER,10,70.0%,3.98%,60.0%,50.0%,50.0%,62.5%,50.0%,50.0%,66.7%,25.0%,10.0%,10
연속 2일 거래량 +15%,042660.KS,한화오션,10,50.0%,-1.06%,55.6%,25.0%,40.0%,37.5%,25.0%,50.0%,50.0%,57.1%,22.2%,9
연속 2일 거래량 +15%,042700.KS,한미반도체,9,66.7%,2.55%,50.0%,83.3%,40.0%,83.3%,83.3%,33.3%,57.1%,60.0%,25.0%,8
연속 2일 거래량 +15%,055550.KS,신한지주,9,55.6%,0.16%,42.9%,42.9%,60.0%,28.6%,42.9%,71.4%,57.1%,100.0%,0.0%,7
연속 2일 거래량 +15%,066570.KS,LG전자,7,42.9%,0.84%,20.0%,40.0%,66.7%,20.0%,40.0%,60.0%,20.0%,25.0%,0.0%,5
연속 2일 거래량 +15%,068270.KS,셀트리온,8,62.5%,-0.03%,62.5%,28.6%,40.0%,42.9%,28.6%,28.6%,75.0%,33.3%,0.0%,8
연속 2일 거래량 +15%,086790.KS,하나금융지주,7,42.9%,-0.52%,40.0%,60.0%,50.0%,60.0%,60.0%,60.0%,75.0%,75.0%,20.0%,5
연속 2일 거래량 +15%,105560.KS,KB금융,10,40.0%,-1.03%,37.5%,28.6%,33.3%,28.6%,28.6%,28.6%,50.0%,85.7%,0.0%,8
연속 2일 거래량 +15%,207940.KS,삼성바이오로직스,8,62.5%,0.74%,12.5%,16.7%,40.0%,16.7%,16.7%,33.3%,14.3%,83.3%,0.0%,8
연속 2일 거래량 +15%,267260.KS,HD현대일렉트릭,10,70.0%,0.85%,62.5%,50.0%,80.0%,66.7%,50.0%,33.3%,66.7%,50.0%,25.0%,8
연속 2일 거래량 +15%,298040.KS,효성중공업,10,60.0%,3.03%,75.0%,50.0%,60.0%,66.7%,50.0%,16.7%,85.7%,80.0%,25.0%,8
연속 2일 거래량 +15%,329180.KS,HD현대중공업,8,62.5%,0.72%,66.7%,16.7%,20.0%,0.0%,16.7%,66.7%,50.0%,0.0%,0.0%,6
연속 2일 거래량 +15%,373220.KS,LG에너지솔루션,10,50.0%,0.64%,50.0%,30.0%,28.6%,60.0%,30.0%,20.0%,50.0%,70.0%,0.0%,10
연속 2일 거래량 +15%,402340.KS,SK스퀘어,4,75.0%,3.01%,50.0%,50.0%,100.0%,50.0%,50.0%,25.0%,75.0%,25.0%,0.0%,4
연속 3일 거래량 +15%,TOP30_합산,전체,47,46.8%,0.67%,66.7%,66.7%,51.5%,68.1%,66.7%,48.6%,58.3%,61.8%,13.9%,36
연속 3일 거래량 +15%,000270.KS,기아,5,40.0%,0.38%,66.7%,100.0%,33.3%,100.0%,100.0%,66.7%,66.7%,33.3%,0.0%,3
연속 3일 거래량 +15%,000810.KS,삼성화재,1,0.0%,-0.11%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,0.0%,1
연속 3일 거래량 +15%,005380.KS,현대차,5,80.0%,5.37%,100.0%,100.0%,100.0%,100.0%,100.0%,66.7%,66.7%,66.7%,33.3%,3
연속 3일 거래량 +15%,005490.KS,POSCO홀딩스,2,0.0%,-3.93%,50.0%,100.0%,0.0%,50.0%,100.0%,100.0%,0.0%,100.0%,0.0%,2
연속 3일 거래량 +15%,005930.KS,삼성전자,1,100.0%,0.98%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,0.0%,1
연속 3일 거래량 +15%,006400.KS,삼성SDI,1,0.0%,-5.23%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,1
연속 3일 거래량 +15%,009540.KS,HD한국조선해양,2,0.0%,-1.92%,100.0%,50.0%,,100.0%,50.0%,50.0%,100.0%,,50.0%,2
연속 3일 거래량 +15%,010120.KS,LS ELECTRIC,1,0.0%,-3.94%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,1
연속 3일 거래량 +15%,012330.KS,현대모비스,1,0.0%,-9.38%,0.0%,0.0%,,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,1
연속 3일 거래량 +15%,028260.KS,삼성물산,2,50.0%,2.60%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,0.0%,2
연속 3일 거래량 +15%,032830.KS,삼성생명,4,0.0%,-5.17%,25.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,4
연속 3일 거래량 +15%,034730.KS,SK,5,100.0%,3.85%,100.0%,100.0%,100.0%,100.0%,100.0%,40.0%,100.0%,100.0%,40.0%,5
연속 3일 거래량 +15%,035420.KS,NAVER,2,100.0%,9.67%,100.0%,100.0%,50.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,2
연속 3일 거래량 +15%,042700.KS,한미반도체,3,100.0%,5.39%,100.0%,100.0%,100.0%,50.0%,100.0%,50.0%,100.0%,100.0%,33.3%,3
연속 3일 거래량 +15%,055550.KS,신한지주,2,0.0%,-0.98%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,1
연속 3일 거래량 +15%,066570.KS,LG전자,1,0.0%,-0.11%,,,,,,,,,,0
연속 3일 거래량 +15%,068270.KS,셀트리온,1,100.0%,4.01%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,1
연속 3일 거래량 +15%,086790.KS,하나금융지주,1,0.0%,-1.48%,,,,,,,,,,0
연속 3일 거래량 +15%,105560.KS,KB금융,2,50.0%,0.62%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,1
연속 3일 거래량 +15%,267260.KS,HD현대일렉트릭,1,0.0%,-1.56%,,,,,,,,,,0
연속 3일 거래량 +15%,298040.KS,효성중공업,1,0.0%,-1.08%,,,,,,,,,,0
연속 3일 거래량 +15%,329180.KS,HD현대중공업,2,100.0%,1.61%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,1
연속 3일 거래량 +15%,373220.KS,LG에너지솔루션,1,0.0%,-9.49%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,0.0%,1