종목코드,종목명,분석거래일수,매집신호횟수,신호후_상승비율,신호후_평균종가등락,신호후_상승일평균,신호후_하락일평균,연속2일만,연속3일이상
TOP50_합산,전체,6050,18,66.7%,3.39%,,,18,0
000150.KS,두산,121,0,,,,,0,0
000270.KS,기아,121,1,100.0%,12.38%,12.38%,,1,0
000660.KS,SK하이닉스,121,0,,,,,0,0
000810.KS,삼성화재,121,0,,,,,0,0
003670.KS,포스코퓨처엠,121,0,,,,,0,0
005380.KS,현대차,121,0,,,,,0,0
005490.KS,POSCO홀딩스,121,0,,,,,0,0
005930.KS,삼성전자,121,0,,,,,0,0
006400.KS,삼성SDI,121,1,100.0%,2.39%,2.39%,,1,0
006800.KS,미래에셋증권,121,0,,,,,0,0
009150.KS,삼성전기,121,1,100.0%,1.32%,1.32%,,1,0
009540.KS,HD한국조선해양,121,1,0.0%,-0.36%,,-0.36%,1,0
010120.KS,LS ELECTRIC,121,1,0.0%,-2.12%,,-2.12%,1,0
010130.KS,고려아연,121,0,,,,,0,0
010140.KS,삼성중공업,121,0,,,,,0,0
010950.KS,S-Oil,121,3,66.7%,4.23%,6.43%,-0.17%,3,0
011070.KS,LG이노텍,121,0,,,,,0,0
011200.KS,HMM,121,0,,,,,0,0
012330.KS,현대모비스,121,0,,,,,0,0
012450.KS,한화에어로스페이스,121,1,100.0%,0.93%,0.93%,,1,0
015760.KS,한국전력,121,0,,,,,0,0
017670.KS,SK텔레콤,121,0,,,,,0,0
028260.KS,삼성물산,121,1,100.0%,7.79%,7.79%,,1,0
032830.KS,삼성생명,121,0,,,,,0,0
033780.KS,KT&G,121,0,,,,,0,0
034020.KS,두산에너빌리티,121,0,,,,,0,0
034730.KS,SK,121,0,,,,,0,0
035420.KS,NAVER,121,0,,,,,0,0
042660.KS,한화오션,121,1,0.0%,-0.23%,,-0.23%,1,0
042700.KS,한미반도체,121,0,,,,,0,0
047810.KS,한국항공우주,121,0,,,,,0,0
051910.KS,LG화학,121,1,0.0%,-1.82%,,-1.82%,1,0
055550.KS,신한지주,121,0,,,,,0,0
064350.KS,현대로템,121,0,,,,,0,0
066570.KS,LG전자,121,0,,,,,0,0
068270.KS,셀트리온,121,1,100.0%,1.92%,1.92%,,1,0
079550.KS,LIG넥스원,121,0,,,,,0,0
086790.KS,하나금융지주,121,0,,,,,0,0
105560.KS,KB금융,121,1,100.0%,2.70%,2.70%,,1,0
138040.KS,메리츠금융지주,121,0,,,,,0,0
207940.KS,삼성바이오로직스,121,1,100.0%,4.34%,4.34%,,1,0
267250.KS,HD현대,121,1,0.0%,-2.21%,,-2.21%,1,0
267260.KS,HD현대일렉트릭,121,0,,,,,0,0
272210.KS,한화시스템,121,0,,,,,0,0
298040.KS,효성중공업,121,0,,,,,0,0
307950.KS,현대오토에버,121,0,,,,,0,0
316140.KS,우리금융지주,121,1,100.0%,0.57%,0.57%,,1,0
329180.KS,HD현대중공업,121,0,,,,,0,0
373220.KS,LG에너지솔루션,121,1,100.0%,20.81%,20.81%,,1,0
402340.KS,SK스퀘어,121,0,,,,,0,0